t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1655423430,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1655423460,30,2834,413.000000,4,890.663836,14.000000,111.000000,2758.650000,2834.000000,2834.000000,2834.000000
1655423490,44,2834,298.204545,4,755.403868,12.500000,60.000000,2691.250000,2834.000000,2834.000000,2834.000000
1655423550,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1655423581,22,4034,569.909091,4,1097.112787,35.500000,647.750000,3839.000000,4034.000000,4034.000000,4034.000000
1655423640,24,3833,470.666667,5,1027.764085,13.000000,310.750000,3536.750000,3833.000000,3833.000000,3833.000000
1655423790,17,2711,492.117647,9,810.316364,94.000000,549.000000,2711.000000,2711.000000,2711.000000,2711.000000
1655423821,37,2711,235.405405,4,591.240431,16.000000,74.500000,1888.400000,2711.000000,2711.000000,2711.000000
1655423851,43,2711,203.720930,3,553.143584,12.000000,53.000000,1795.800000,2711.000000,2711.000000,2711.000000
1655423881,53,2711,167.396226,3,502.904882,11.000000,37.500000,1792.800000,2637.880000,2711.000000,2711.000000
1655423911,67,2711,134.373134,2,451.073932,11.000000,28.000000,1294.600000,2381.960000,2711.000000,2711.000000
1655423941,73,2711,127.000000,2,433.147877,11.000000,24.500000,922.300000,2272.280000,2711.000000,2711.000000
1655423971,79,2711,118.164557,2,417.310511,11.000000,18.000000,550.000000,2162.600000,2711.000000,2711.000000
1655424001,82,2711,114.195122,2,410.022446,10.500000,18.000000,549.700000,2107.760000,2711.000000,2711.000000
1655424031,88,2711,107.079545,2,396.515548,10.000000,16.000000,549.100000,1998.080000,2711.000000,2711.000000
1655424061,91,2711,103.670330,2,390.292855,10.000000,16.000000,548.800000,1943.240000,2711.000000,2711.000000
1655424091,97,2711,97.659794,2,378.632377,10.000000,14.000000,548.200000,1833.560000,2711.000000,2711.000000
1655424121,100,2711,95.000000,2,373.161297,10.000000,14.000000,540.900000,1796.880000,2701.860000,2711.000000
1655424151,106,2711,90.047170,2,362.912199,10.000000,14.000000,498.300000,1796.160000,2647.020000,2711.000000
1655424181,109,2711,87.724771,2,358.105480,10.000000,13.500000,477.000000,1795.800000,2619.600000,2711.000000
1655424211,115,2711,83.513043,2,349.021750,9.000000,13.000000,434.400000,1795.080000,2564.760000,2711.000000
1655424241,118,2711,81.525424,2,344.740252,9.000000,13.000000,413.100000,1794.720000,2537.340000,2711.000000
1655424271,124,2711,77.846774,2,336.625942,9.000000,13.000000,358.500000,1794.000000,2482.500000,2711.000000
1655424301,127,2711,76.133858,2,332.778642,9.000000,13.000000,330.000000,1793.640000,2455.080000,2711.000000
1655424332,133,2711,73.037594,2,325.442668,9.000000,12.500000,273.000000,1792.920000,2400.240000,2711.000000
1655424362,136,2711,71.610294,2,321.947803,9.000000,12.000000,244.500000,1792.560000,2372.820000,2711.000000
1655424392,142,2711,69.007042,2,315.269546,9.000000,12.000000,210.150000,1791.840000,2317.980000,2711.000000
1655424422,145,2711,67.758621,2,312.087334,9.000000,12.000000,204.300000,1791.480000,2290.560000,2711.000000
1655424452,151,2711,65.357616,2,306.011554,8.000000,12.000000,192.600000,1741.360000,2235.720000,2711.000000
1655424482,157,2711,63.152866,2,300.274664,8.000000,12.000000,180.900000,1592.440000,2180.880000,2711.000000
1655424512,166,2711,60.090361,2,292.253083,8.000000,12.000000,171.400000,1369.060000,2098.620000,2711.000000
1655424542,172,2711,58.273256,2,287.240370,8.000000,12.000000,166.600000,1220.140000,2043.780000,2711.000000
1655424572,181,2711,55.674033,2,280.199688,8.000000,12.000000,154.300000,996.760000,1961.520000,2711.000000
1655424602,184,2711,54.891304,2,277.960427,8.000000,12.000000,144.250000,922.300000,1934.100000,2711.000000
1655424632,184,2711,54.891304,2,277.960427,8.000000,12.000000,144.250000,922.300000,1934.100000,2711.000000
1655424662,184,2711,54.891304,2,277.960427,8.000000,12.000000,144.250000,922.300000,1934.100000,2711.000000
1655424930,19,1728,147.315789,6,396.551811,19.000000,55.000000,1728.000000,1728.000000,1728.000000,1728.000000
1655424960,23,1728,124.521739,6,362.283775,19.000000,52.000000,1474.200000,1728.000000,1728.000000,1728.000000
1655424990,31,1728,95.483871,6,314.259327,15.000000,48.000000,966.600000,1728.000000,1728.000000,1728.000000
1655425020,35,1728,85.828571,6,296.458160,14.000000,33.000000,712.800000,1728.000000,1728.000000,1728.000000
1655425050,40,1728,76.250000,4,277.995642,13.500000,25.250000,444.000000,1728.000000,1728.000000,1728.000000
1655425080,44,1728,72.340909,4,265.392201,13.500000,25.250000,384.000000,1728.000000,1728.000000,1728.000000
1655425110,49,1728,66.877551,4,251.735611,14.000000,25.000000,309.000000,1728.000000,1728.000000,1728.000000
1655425650,7,1914,452.142857,10,737.221683,55.000000,1004.000000,1914.000000,1914.000000,1914.000000,1914.000000
1655425680,7,1914,452.142857,10,737.221683,55.000000,1004.000000,1914.000000,1914.000000,1914.000000,1914.000000
